parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)Nc1ccccc1,CHEMBL4227113,7.93,7.93,0.0,7.93,7.93,1,1,0.0,False,477.53500000000014,6.924800000000006,2,3,1,False
O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)c1ccccc1,CHEMBL4225431,6.98,6.98,0.0,6.98,6.98,1,1,0.0,False,462.52000000000015,7.169000000000007,1,3,1,False
O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCC(N(Cc2ccccc2)c2ccccc2)CC1,CHEMBL1597831,6.92,6.92,0.0,6.92,6.92,1,1,0.0,False,540.7330000000002,6.317290000000007,1,4,2,False
O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1,CHEMBL1434961,4.37,4.37,0.0,4.37,4.37,1,1,0.0,False,504.5780000000003,4.987090000000005,1,4,1,False
O=C(CCl)Nc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,CHEMBL449038,6.18,6.18,0.0,6.18,6.18,1,1,0.0,False,537.0810000000005,7.108200000000006,2,6,2,False
O=C(Nc1ccc(N2CCCC2)cc1)C(c1ccccc1)c1ccccc1,CHEMBL1417890,5.15,5.15,0.0,5.15,5.15,1,1,0.0,False,356.46900000000005,5.057400000000005,1,2,1,False
O=C(Nc1ccc2oc(-c3ccc4ccccc4c3)nc2c1)c1cccs1,CHEMBL1608989,4.56,4.56,0.0,4.56,4.56,1,1,0.0,False,370.43300000000005,5.961800000000004,1,4,1,False
O=C(Nc1ccc2oc(-c3ccccc3F)nc2c1)c1cncc(Br)c1,CHEMBL1411687,4.81,4.81,0.0,4.81,4.81,1,1,0.0,False,412.218,5.043700000000002,1,4,1,False
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccc(NC(=O)c2ccco2)c1,CHEMBL1565187,4.88,4.88,0.0,4.88,4.88,1,1,0.0,False,434.45500000000015,5.394400000000003,2,5,1,False
O=C(Nc1cnn(C23CC4CC(CC(C4)C2)C3)c1)c1cnn2c(C(F)(F)F)cc(-c3ccco3)nc12,CHEMBL1331084,5.44,5.44,0.0,5.44,5.44,1,1,0.0,False,496.4930000000001,5.3822000000000045,1,5,1,False
O=C(O)/C=C/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,CHEMBL4228617,7.14,7.14,0.0,7.14,7.14,1,1,0.0,False,428.4590000000002,5.926900000000005,2,3,1,False
O=C(O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,CHEMBL4228649,7.85,7.85,0.0,7.85,7.85,1,1,0.0,False,402.4210000000001,5.370700000000005,2,3,1,False
O=C(O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3ccccc32)cc1,CHEMBL4228388,7.68,7.68,0.0,7.68,7.68,1,1,0.0,False,384.4310000000001,5.231600000000004,2,3,1,False
O=C(O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCSc3cc(F)ccc32)cc1,CHEMBL4224880,8.39,8.39,0.0,8.39,8.39,1,1,0.0,False,418.4890000000001,6.084000000000004,2,3,1,False
O=C(O)/C=C/c1ccc(C2c3ccc(O)cc3CCN2c2ccc(OC(F)(F)F)cc2)cc1,CHEMBL3774777,9.02,9.02,0.0,9.02,9.02,1,1,0.0,False,455.4320000000001,5.540700000000004,2,4,1,False
