parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
CCCCOC(=O)c1cc(C)c(O)c(C)c1,CHEMBL4171348,4.49,4.49,0.0,4.49,4.49,1,1,0.0,False,222.28399999999996,2.9659400000000016,1,3,0,True
CCCCOC(=O)c1cc(Cl)c(O)c(Cl)c1,CHEMBL4173755,4.26,4.26,0.0,4.26,4.26,1,1,0.0,False,263.11999999999995,3.6559000000000026,1,3,0,True
CCCCOC(=O)c1cc(I)c(O)c(I)c1,CHEMBL4174801,4.46,4.46,0.0,4.46,4.46,1,1,0.0,False,446.022,3.558300000000002,1,3,0,True
CCCCOC(=O)c1cc(O)c(O)c(O)c1,CHEMBL494005,5.05,5.05,0.0,5.05,5.05,1,1,0.0,False,226.22799999999998,1.7603000000000002,3,5,0,True
CCCCOC(=O)c1ccc(O)c(Br)c1,CHEMBL4170305,5.09,5.09,0.0,5.09,5.09,1,1,0.0,False,273.126,3.111600000000002,1,3,0,True
CCCCOC(=O)c1ccc(O)c(I)c1,CHEMBL4166909,5.1,5.1,0.0,5.1,5.1,1,1,0.0,False,320.126,2.9537000000000013,1,3,0,True
CCCCOC(=O)c1ccc(O)cc1,CHEMBL459008,5.85,5.85,0.0,5.85,5.85,1,1,0.0,False,194.23,2.349100000000001,1,3,0,True
CCCC[C@@]12CCC(=O)C(Br)=C1c1ccc(O)cc1C2,CHEMBL211614,6.89,6.89,0.0,6.89,6.89,1,1,0.0,False,335.2410000000001,4.593800000000004,1,2,0,True
CCCC[C@@]12CCC(=O)C(Br)=C1c1ccc3[nH]nnc3c1C2,CHEMBL215802,5.72,5.72,0.0,5.72,5.72,1,1,0.0,False,360.2550000000001,4.159500000000003,1,3,0,True
CCCC[C@@]12CCC(=O)C(C(=O)OC)=C1c1ccc3[nH]ncc3c1C2,CHEMBL377988,5.68,5.68,0.0,5.68,5.68,1,1,0.0,False,338.4070000000001,3.5851000000000024,1,4,0,True
CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nc(F)c3c1C2,CHEMBL384268,7.31,7.31,0.0,7.31,7.31,1,1,0.0,False,366.35800000000006,5.113500000000004,1,2,1,False
CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,CHEMBL377644,6.75,6.75,0.0,6.75,6.75,1,1,0.0,False,348.36800000000005,4.974400000000004,1,2,0,True
CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2=O,CHEMBL425439,7.4,7.4,0.0,7.4,7.4,1,1,0.0,False,362.35100000000006,4.614600000000004,1,3,0,True
CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nnc3c1C2,CHEMBL384709,6.05,6.05,0.0,6.05,6.05,1,1,0.0,False,349.35600000000005,4.369400000000003,1,3,0,True
CCCC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2,CHEMBL209269,6.25,6.25,0.0,6.25,6.25,2,2,0.0,False,270.37200000000007,4.261300000000004,1,2,0,True
CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nc(F)c3c1C2,CHEMBL213829,7.64,7.64,0.0,7.64,7.64,1,1,0.0,False,326.4150000000001,4.961200000000004,1,2,0,True
CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]ncc3c1C2,CHEMBL211816,7.03,7.03,0.0,7.03,7.03,1,1,0.0,False,308.42500000000007,4.822100000000004,1,2,0,True
CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,CHEMBL441366,6.66,6.66,0.0,6.66,6.66,1,1,0.0,False,309.41300000000007,4.217100000000003,1,3,0,True
CCCC[C@@]12CCC(=O)C(c3cccs3)=C1c1ccc3[nH]nnc3c1C2,CHEMBL214692,7.47,7.47,0.0,7.47,7.47,1,1,0.0,False,363.4860000000001,5.025800000000004,1,4,1,False
CCCC[C@]12CCC(=O)C(Br)=C1c1ccc(O)cc1C2,CHEMBL211667,5.39,5.39,0.0,5.39,5.39,1,1,0.0,False,335.2410000000001,4.593800000000004,1,2,0,True
CCCC[C@]12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,CHEMBL377046,5.32,5.32,0.0,5.32,5.32,1,1,0.0,False,309.41300000000007,4.217100000000003,1,3,0,True
CCCCc1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,CHEMBL206814,6.75,6.75,0.0,6.75,6.75,1,1,0.0,False,326.35200000000003,2.8451000000000013,3,5,0,True
CCCCn1c(NC(=O)CC)c(C#N)c2nc3ccccc3nc21,CHEMBL1299357,4.63,4.63,0.0,4.63,4.63,1,1,0.0,False,321.384,3.6047800000000025,1,4,0,True
CCCN(CCC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,CHEMBL3657145,7.1,7.1,0.0,7.1,7.1,2,2,0.0,False,472.62900000000013,6.577020000000009,2,4,1,False
CCCN(CCC)S(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1,CHEMBL1341057,4.78,4.78,0.0,4.78,4.78,1,1,0.0,False,380.5350000000001,3.740000000000003,1,4,0,True
CCCN1CC(c2ccc(O)cc2)Cc2ccc(O)cc21,CHEMBL391619,5.61,5.61,0.0,5.61,5.61,1,1,0.0,False,283.371,3.6541000000000023,2,3,0,True
CCCN1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,CHEMBL179518,8.85,8.85,0.0,8.85,8.85,1,1,0.0,False,472.6100000000002,5.742500000000007,2,6,1,False
CCCNC(=O)c1ccc(-c2nc3ccccc3s2)s1,CHEMBL1498999,4.52,4.52,0.0,4.52,4.52,1,1,0.0,False,302.424,4.164600000000003,1,4,0,True
CCCSc1nc(C)c(-c2csc(C(C#N)=C3CCCC3)n2)cc1C#N,CHEMBL1597805,5.03,5.03,0.0,5.03,5.03,1,1,0.0,False,380.5420000000002,5.738480000000005,0,6,1,False
CCC[C@@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,CHEMBL212992,7.08,7.08,0.0,7.08,7.08,1,1,0.0,False,296.41,4.507300000000004,1,2,0,True
CCC[C@@H]1C[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,CHEMBL379008,7.01,7.01,0.0,7.01,7.01,1,1,0.0,False,282.38300000000004,4.117200000000003,1,2,0,True
CCC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2,CHEMBL215593,6.34,6.34,0.0,6.34,6.34,1,1,0.0,False,256.34499999999997,3.8712000000000026,1,2,0,True
CCC[C@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,CHEMBL213950,6.22,6.22,0.0,6.22,6.22,1,1,0.0,False,296.41,4.507300000000004,1,2,0,True
CCC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL201517,5.29,5.29,0.0,5.29,5.29,1,1,0.0,False,318.50100000000003,4.4512000000000045,2,2,0,True
CCCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,CHEMBL425092,6.81,6.81,0.0,6.81,6.81,1,1,0.0,False,314.33700000000005,3.4624000000000015,3,5,0,True
CCCc1c(O)cc2ncn(-c3ccc(O)cc3)c(=O)c2c1O,CHEMBL203442,4.97,4.97,0.0,4.97,4.97,1,1,0.0,False,312.32500000000005,2.4550000000000005,3,5,0,True
