parent_smiles,parent_chembl_id,pStandard,pStandard_mean,pStandard_std,pStandard_min,pStandard_max,n_measurements,n_assays,pStandard_range,activity_conflict,MolWt,MolLogP,HBD,HBA,Lipinski_violations,passes_Lipinski
O=C(O)/C=C/c1ccc(C2c3ccc(O)cc3CCN2c2ccccc2)cc1,CHEMBL3775344,8.33,8.33,0.0,8.33,8.33,1,1,0.0,False,371.43600000000004,4.642100000000003,2,3,0,True
O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(F)cc3)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427389,8.05,8.05,0.0,8.05,8.05,1,1,0.0,False,416.4040000000001,4.993300000000004,2,4,0,True
O=C(O)/C=C/c1ccc(Cc2c(-c3ccccc3)c(=O)oc3cc(O)ccc23)cc1,CHEMBL3427385,8.09,8.09,0.0,8.09,8.09,1,1,0.0,False,398.4140000000001,4.854200000000004,2,4,0,True
O=C(O)C1Nc2c(C(=O)N3CCOCC3)cccc2C2C=CCC12,CHEMBL1570659,4.8,4.8,0.0,4.8,4.8,1,1,0.0,False,328.368,1.6973999999999996,2,4,0,True
O=C(O)CCN1CCc2c([nH]c3ccccc23)C1c1ccc(Cl)cc1,CHEMBL3622993,4.86,4.86,0.0,4.86,4.86,1,1,0.0,False,354.8370000000001,4.243500000000004,2,2,0,True
O=C(O)CCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,CHEMBL1083188,6.24,6.24,0.0,6.24,6.24,1,1,0.0,False,446.45500000000027,4.778300000000003,3,6,0,True
O=C(O)CCOc1ccc([C@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,CHEMBL1083187,6.92,6.92,0.0,6.92,6.92,1,1,0.0,False,446.45500000000027,4.778300000000003,3,6,0,True
O=C(O)COc1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,CHEMBL4225690,6.2,6.2,0.0,6.2,6.2,1,1,0.0,False,406.40900000000016,4.7363000000000035,2,4,0,True
O=C(O)c1cc(-c2ccco2)nc2ccc(Br)cc12,CHEMBL1393131,4.32,4.32,0.0,4.32,4.32,1,1,0.0,False,318.12600000000003,3.9555000000000016,1,3,0,True
O=C(O)c1cc(-c2ccco2)nc2ccccc12,CHEMBL150924,4.63,4.63,0.0,4.63,4.63,1,1,0.0,False,239.23,3.1930000000000014,1,3,0,True
O=C(O)c1ccc2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1ccccn1)N2,CHEMBL1391547,5.02,5.02,0.0,5.02,5.02,1,1,0.0,False,292.33799999999997,3.606300000000002,2,3,0,True
O=C(Oc1ccc2c(-c3ccccc3)cc(=O)oc2c1)c1ccco1,CHEMBL192548,5.63,5.63,0.0,5.63,5.63,4,3,0.0,False,332.31100000000004,4.272200000000003,0,5,0,True
O=C(c1cc(-c2ccco2)on1)N1CCc2ccccc2C1,CHEMBL1359354,4.49,4.49,0.0,4.49,4.49,1,1,0.0,False,294.31,3.1331000000000016,0,4,0,True
O=C(c1cc2ncc(Br)cn2n1)N1CCN(C(=O)c2ccco2)CC1,CHEMBL1377973,4.75,4.75,0.0,4.75,4.75,1,1,0.0,False,404.2240000000002,1.6829999999999998,0,5,0,True
O=C(c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL194859,4.51,4.51,0.0,4.51,4.51,1,1,0.0,False,214.22,2.3288,2,3,0,True
O=C(c1ccc(OCCN2C(=O)CCC2=O)cc1)c1c(-c2ccc(O)cc2)oc(=O)c2cc(O)ccc12,CHEMBL5207726,9.12,9.12,0.0,9.12,9.12,1,1,0.0,False,499.47500000000025,3.6300000000000026,2,8,0,True
O=C(c1cccc(F)c1)N1CCN(C(=O)c2cc3ncc(Br)cn3n2)CC1,CHEMBL1548361,4.48,4.48,0.0,4.48,4.48,1,1,0.0,False,432.25300000000004,2.2291,0,4,0,True
O=C(c1ccccc1)c1ccc2[nH]c(-c3cc4ccccc4[nH]3)nc2c1,CHEMBL4170939,7.33,7.33,0.0,7.33,7.33,1,1,0.0,False,337.38200000000006,4.942200000000003,2,2,0,True
O=C1C(c2ccc(O)cc2)=C(Br)c2c(O)cc(O)cc21,CHEMBL190487,6.15,6.15,0.0,6.15,6.15,1,1,0.0,False,333.137,3.2629,3,4,0,True
O=C1C(c2ccc(O)cc2)=C(Br)c2cc(O)ccc21,CHEMBL363872,8.28,8.28,0.0,8.28,8.28,1,1,0.0,False,317.13800000000003,3.5573000000000006,2,3,0,True
O=C1C(c2ccc(O)cc2)=C(Br)c2ccc(O)cc21,CHEMBL190467,6.54,6.54,0.0,6.54,6.54,1,1,0.0,False,317.13800000000003,3.5573000000000006,2,3,0,True
O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2c(O)cc(O)cc21,CHEMBL190682,7.33,7.33,0.0,7.33,7.33,1,1,0.0,False,330.33900000000006,3.958800000000001,3,4,0,True
O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2cc(O)cc(O)c21,CHEMBL191836,8.52,8.52,0.0,8.52,8.52,1,1,0.0,False,330.33900000000006,3.9588000000000023,3,4,0,True
O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2cc(O)ccc21,CHEMBL373095,8.0,8.0,0.0,8.0,8.0,1,1,0.0,False,314.34000000000003,4.253200000000002,2,3,0,True
O=C1C(c2ccc(O)cc2)=C(c2ccccc2)c2ccc(O)cc21,CHEMBL192586,8.05,8.05,0.0,8.05,8.05,1,1,0.0,False,314.34000000000003,4.253200000000002,2,3,0,True
O=C1C2CC=C(Cl)CC2C(=O)N1CCCCCCN1C(=O)C2CC=C(Cl)CC2C1=O,CHEMBL1522044,4.61,4.61,0.0,4.61,4.61,1,1,0.0,False,453.36600000000016,3.582200000000003,0,4,0,True
O=C1C=C2c3ccc4[nH]ncc4c3CC2(Cc2ccccc2)CC1,CHEMBL212923,5.41,5.41,0.0,5.41,5.41,1,1,0.0,False,314.38800000000003,4.094400000000003,1,2,0,True
O=C1CC(c2ccco2)CC(O)=C1/C=N/c1cc(Cl)ccc1O,CHEMBL1996233,4.36,4.36,0.0,4.36,4.36,1,1,0.0,False,331.755,4.299700000000002,2,5,0,True
O=C1CCC(=O)N1CCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,CHEMBL1088337,8.21,8.21,0.0,8.21,8.21,1,1,0.0,False,499.51900000000035,4.452600000000004,2,7,0,True
O=C1CCC(=O)N1CCOc1ccc([C@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,CHEMBL1083194,8.32,8.32,0.0,8.32,8.32,1,1,0.0,False,499.51900000000035,4.452600000000004,2,7,0,True
O=C1CCC2(c3ccccc3)Cc3cc(O)ccc3C2=C1Br,CHEMBL209978,6.95,6.95,0.0,6.95,6.95,1,1,0.0,False,355.231,4.3552000000000035,1,2,0,True
O=C1CCC2(c3ccccc3)Cc3cc(O)ccc3C2=C1c1ccco1,CHEMBL377224,6.41,6.41,0.0,6.41,6.41,1,1,0.0,False,342.39400000000006,4.7530000000000046,1,3,0,True
O=C1CC[C@@]2(CC3CC3)Cc3c(ccc4[nH]ncc34)C2=C1Br,CHEMBL211666,6.64,6.64,0.0,6.64,6.64,1,1,0.0,False,357.25100000000003,4.374400000000003,1,2,0,True
O=C1CC[C@@]2(CCC3CC3)Cc3c(ccc4[nH]ncc34)C2=C1Br,CHEMBL211800,6.64,6.64,0.0,6.64,6.64,1,1,0.0,False,371.2780000000001,4.7645000000000035,1,2,0,True
O=C1C[C@@H](c2ccc(O)cc2)Oc2c(Cc3ccccc3)c(O)cc(O)c21,CHEMBL219126,6.3,6.3,0.0,6.3,6.3,1,1,0.0,False,362.3810000000001,4.100700000000003,3,5,0,True
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,CHEMBL9352,4.12,4.12,0.0,4.12,4.12,1,1,0.0,False,272.25600000000003,2.5099000000000014,3,5,0,True
O=C1C[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1,CHEMBL3360841,4.89,4.89,0.0,4.89,4.89,1,1,0.0,False,255.27300000000002,2.575800000000001,2,3,0,True
O=C1NC(c2ccc(Br)cc2)Nc2sc3c(c21)CCC3,CHEMBL1573735,4.71,4.71,0.0,4.71,4.71,1,1,0.0,False,349.2530000000002,3.8534000000000024,2,3,0,True
O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)C1Cc1c[nH]c2ccccc12,CHEMBL4522968,5.61,5.61,0.0,5.61,5.61,1,1,0.0,False,374.2270000000001,3.711400000000001,2,2,0,True
O=C1Nc2ccccc2SC(c2ccccc2)C1O,CHEMBL1506716,5.52,5.52,0.0,5.52,5.52,1,1,0.0,False,271.341,2.8330000000000015,2,3,0,True
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,CHEMBL63857,5.43,5.43,0.0,5.43,5.43,1,1,0.0,False,318.32800000000003,3.560100000000002,2,4,0,True
O=C1Oc2cc(O)cc(Cc3ccccc3)c2CC1c1ccc(Cl)cc1,CHEMBL3648370,6.92,6.92,0.0,6.92,6.92,2,2,0.0,False,364.828,4.881700000000003,1,3,0,True
O=C1[C@@H](Oc2ccccc2)[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1,CHEMBL3360845,6.85,6.85,0.0,6.85,6.85,1,1,0.0,False,347.37000000000006,3.633300000000002,2,4,0,True
O=C1[C@@H](c2ccc(O)cc2)[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1,CHEMBL3360844,5.904999999999999,5.904999999999999,0.07778174593052077,5.85,5.96,2,2,0.11000000000000032,False,347.37000000000006,3.6751000000000014,3,4,0,True
O=C1[C@@H](c2ccccc2)[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1,CHEMBL3360843,6.64,6.64,0.0,6.64,6.64,1,1,0.0,False,331.37100000000004,3.969500000000002,2,3,0,True
O=C1c2cc(O)cc(Br)c2C(=O)N1c1ccc(O)cc1,CHEMBL245133,7.44,7.44,0.0,7.44,7.44,1,1,0.0,False,334.125,2.6609000000000007,2,4,0,True
O=C1c2cc(O)ccc2-c2c1c1ccc(O)cc1c(=O)n2-c1ccc(OCCN2CCCC2)cc1,CHEMBL3827045,5.14,5.14,0.0,5.14,5.14,1,1,0.0,False,468.50900000000036,4.087900000000003,2,6,0,True
O=C1c2cc(O)ccc2-c2c1c1ccc(O)cc1c(=O)n2-c1ccc(OCCN2CCCCC2)cc1,CHEMBL3827784,5.47,5.47,0.0,5.47,5.47,1,1,0.0,False,482.5360000000004,4.478000000000003,2,6,0,True
